0;1;2;3;4;5;6;7;8;9;10;11
0.5043920898450001;0.4995416259765;0.5003396606445001;0.5009248467074999;0.50360988248;0.49510639678749996;0.49123214285714284;0.502984375;0.5344285714285715;0.5000185222625719;0.49997775840759373;0.5000078005790719
0.5043676757825;0.499560546875;0.5004904174804999;0.5010967930304999;0.5035458988875;0.4951054507275;0.4917723214285714;0.5027857142857143;0.5340178571428571;0.5000179538726812;0.499977296829225;0.5000077042579656
0.5043383789075;0.499494934082;0.5003076171875;0.500983256746;0.5036189264525001;0.495239949345;0.4921875;0.5025647321428571;0.5336071428571428;0.5000174036025999;0.499976877212525;0.5000075969696032
0.50440185547;0.49957336425775;0.50032806396475;0.5011288329932501;0.5036948675225;0.49532292268;0.4927276785714286;0.5023861607142858;0.5332142857142858;0.5000168714523313;0.49997649955749374;0.5000074787139906
0.5043017578125;0.4995486450195;0.50011322021485;0.500997044971;0.503720588245;0.495529014245;0.49330357142857145;0.5022779017857143;0.5327857142857143;0.5000163393020625;0.49997612190246565;0.500007360458375
0.50420654297;0.49974304199225;0.499914855957025;0.5010196053804999;0.50375637035;0.4958818630075;0.49385267857142856;0.5020736607142857;0.5323571428571429;0.5000158071517937;0.4999757442474375;0.5000072422027594
0.5042211914075;0.499843292236325;0.4997410583495;0.5010232196015;0.5038650281825;0.49611268468499997;0.4944330357142857;0.5018816964285714;0.5319285714285714;0.5000155391693125;0.499975549697875;0.5000071763992312
0.5041723632825;0.49981704711915004;0.49965972900399996;0.50098448841775;0.50386540887;0.49621654050249997;0.4949241071428571;0.5017310267857142;0.5314642857142857;0.5000155353546156;0.4999755382537843;0.5000071630477907
0.504189453125;0.499873046875;0.49975326538084996;0.50113908498075;0.5038468011799999;0.49626180832;0.4952455357142857;0.5015825892857143;0.5310357142857143;0.5000155315399156;0.49997552680969376;0.50000714969635
0.5042114257825;0.50008155822755;0.49974838256825;0.5013226672025;0.5038751573;0.49648030516749997;0.49558035714285714;0.5014810267857143;0.5305714285714286;0.5000155277252187;0.49997551536560003;0.5000071363449093
0.5042529296875;0.50019119262695;0.499765319824225;0.501462223525;0.5039042912875;0.49660699819000004;0.4956674107142857;0.501390625;0.5301071428571429;0.5000152730941781;0.4999753532409656;0.5000071010589594
0.5042114257825;0.5002310180664;0.49973846435549996;0.501495768701;0.503875972195;0.496727088045;0.49577901785714285;0.5013002232142857;0.529625;0.5000147676467906;0.4999750404357906;0.5000070438385
0.5042016601575;0.5004153442382501;0.499619140625;0.5015618557105;0.5039097392325;0.497003957025;0.4958169642857143;0.5012276785714286;0.5291785714285714;0.5000142621994031;0.4999747276306156;0.5000069866180407
0.5042236328125;0.500650024414;0.499486694336;0.50165631018575;0.5039686077025;0.497321455765;0.49591071428571426;0.5011495535714285;0.5286785714285714;0.5000137567520156;0.49997441482544064;0.5000069293975844
0.5041943359375;0.50073852539075;0.4993408203125;0.5016292700674999;0.50398949979;0.49754197663175;0.4959799107142857;0.5010518973214285;0.5281785714285714;0.5000129814147938;0.4999740428924562;0.5000068264007562
0.5041723632825;0.5007556152345;0.49927917480475;0.50161901226525;0.5039816906575;0.49765523368325;0.49615401785714286;0.5009754464285714;0.5276607142857143;0.5000119361877438;0.4999736118316656;0.5000066776275625
0.5042797851575;0.500922241211;0.499223022461;0.5017502532215;0.50407155094;0.49786037555850005;0.49631473214285715;0.5008660714285714;0.5271428571428571;0.5000108909606937;0.499973180770875;0.5000065288543688
0.5043310546875;0.501021118164;0.499200439453;0.5018409023802499;0.50409832928;0.49800476688675;0.49635714285714283;0.5007946428571428;0.5266428571428572;0.5000098457336438;0.4999727497100844;0.5000063800811781
0.50435546875;0.50099853515625;0.49923217773425;0.501888499289;0.5040883466999999;0.4980250935275;0.49639955357142856;0.5007299107142857;0.5261428571428571;0.5000090875625625;0.49997245788574063;0.5000062923431406
