trial;score
dola_load_prone_1_shot_01;10
dola_load_prone_1_shot_02;10
dola_load_prone_1_shot_03;8
dola_load_prone_1_shot_04;8
dola_load_prone_1_shot_05;10
dola_load_prone_2_shot_01;8
dola_load_prone_2_shot_02;8
dola_load_prone_2_shot_03;10
dola_load_prone_2_shot_04;9
dola_load_prone_2_shot_05;10
dola_load_standing_1_shot_01;6
dola_load_standing_1_shot_02;2
dola_load_standing_1_shot_03;10
dola_load_standing_1_shot_04;6
dola_load_standing_1_shot_05;6
dola_load_standing_2_shot_01;8
dola_load_standing_2_shot_02;10
dola_load_standing_2_shot_03;10
dola_load_standing_2_shot_04;7
dola_load_standing_2_shot_05;5
duzd_rest_prone_1_shot_01;10
duzd_rest_prone_1_shot_02;10
duzd_rest_prone_1_shot_03;8
duzd_rest_prone_1_shot_04;9
duzd_rest_prone_1_shot_05;9
duzd_rest_prone_2_shot_01;10
duzd_rest_prone_2_shot_02;10
duzd_rest_prone_2_shot_03;9
duzd_rest_prone_2_shot_04;10
duzd_rest_prone_2_shot_05;10
duzd_rest_prone_3_shot_01;10
duzd_rest_prone_3_shot_02;10
duzd_rest_prone_3_shot_03;10
duzd_rest_prone_3_shot_04;10
duzd_rest_prone_3_shot_05;9
duzd_rest_standing_1_shot_01;8
duzd_rest_standing_1_shot_02;6
duzd_rest_standing_1_shot_03;8
duzd_rest_standing_1_shot_04;5
duzd_rest_standing_1_shot_05;6
duzd_rest_standing_2_shot_01;7
duzd_rest_standing_2_shot_02;7
duzd_rest_standing_2_shot_03;10
duzd_rest_standing_2_shot_04;9
duzd_rest_standing_2_shot_05;8
duzd_rest_standing_3_shot_01;8
duzd_rest_standing_3_shot_02;8
duzd_rest_standing_3_shot_03;6
duzd_rest_standing_3_shot_04;7
duzd_rest_standing_3_shot_05;6
duzd_load_prone_1_shot_01;7
duzd_load_prone_1_shot_02;8
duzd_load_prone_1_shot_03;7
duzd_load_prone_1_shot_04;10
duzd_load_prone_1_shot_05;8
duzd_load_prone_2_shot_01;8
duzd_load_prone_2_shot_02;8
duzd_load_prone_2_shot_03;9
duzd_load_prone_2_shot_04;8
duzd_load_prone_2_shot_05;10
duzd_load_standing_1_shot_01;7
duzd_load_standing_1_shot_02;7
duzd_load_standing_1_shot_03;7
duzd_load_standing_1_shot_04;7
duzd_load_standing_1_shot_05;9
duzd_load_standing_2_shot_01;5
duzd_load_standing_2_shot_02;8
duzd_load_standing_2_shot_03;8
duzd_load_standing_2_shot_04;8
duzd_load_standing_2_shot_05;5
faho_rest_prone_1_shot_01;8
faho_rest_prone_1_shot_02;9
faho_rest_prone_1_shot_03;10
faho_rest_prone_1_shot_04;10
faho_rest_prone_1_shot_05;9
faho_rest_prone_2_shot_01;8
faho_rest_prone_2_shot_02;9
faho_rest_prone_2_shot_03;10
faho_rest_prone_2_shot_04;9
faho_rest_prone_2_shot_05;10
faho_rest_prone_3_shot_01;10
faho_rest_prone_3_shot_02;10
faho_rest_prone_3_shot_03;10
faho_rest_prone_3_shot_04;10
faho_rest_prone_3_shot_05;8
faho_rest_standing_1_shot_01;2
faho_rest_standing_1_shot_02;4
faho_rest_standing_1_shot_03;5
faho_rest_standing_1_shot_04;8
faho_rest_standing_1_shot_05;6
faho_rest_standing_2_shot_01;6
faho_rest_standing_2_shot_02;8
faho_rest_standing_2_shot_03;10
faho_rest_standing_2_shot_04;10
faho_rest_standing_2_shot_05;6
faho_rest_standing_3_shot_01;6
faho_rest_standing_3_shot_02;7
faho_rest_standing_3_shot_03;8
faho_rest_standing_3_shot_04;8
faho_rest_standing_3_shot_05;6
faho_load_prone_1_shot_01;7
faho_load_prone_1_shot_02;6
faho_load_prone_1_shot_03;9
faho_load_prone_1_shot_04;9
faho_load_prone_1_shot_05;9
faho_load_prone_2_shot_01;9
faho_load_prone_2_shot_02;9
faho_load_prone_2_shot_03;8
faho_load_prone_2_shot_04;9
faho_load_prone_2_shot_05;10
faho_load_standing_1_shot_01;6
faho_load_standing_1_shot_02;7
faho_load_standing_1_shot_03;7
faho_load_standing_1_shot_04;9
faho_load_standing_1_shot_05;4
faho_load_standing_2_shot_01;6
faho_load_standing_2_shot_02;0
faho_load_standing_2_shot_03;4
faho_load_standing_2_shot_04;0
faho_load_standing_2_shot_05;2
jusc_rest_prone_1_shot_01;9
